POI_ID,Longitude,Latitude,SEQ_NUM,POI_NAME,LINK_ID
1210225169,-99.62645,19.27136,1,IGLESIA CRISTIANA ADVENTISTA DE 7 DIA,702684291
1210225169,-99.62645,19.27136,2,IGL. CRIST. ADV. DE 7 DIA,702684291
1178939476,-99.64331,19.27218,1,ESPECIALISTAS EN SUSPENSIÓN Y DIRECCIÓN,702992387
1178939476,-99.64331,19.27218,2,ESPECIALISTAS EN SUSPENSIÓN,702992387
1233550396,-99.64331,19.27218,2,DE TODO EN SUSPENSIONES,702992387
1233550396,-99.64331,19.27218,1,DE TODO EN SUSPENSIONES Y DIRECCIONES,702992387
1244750190,-99.5331,19.27059,2,TIENDA DE ESCUELA PRIMARIA,702712580
1244750190,-99.5331,19.27059,1,TIENDA DE ESCUELA PRIMARIA MIGUEL HIDALGO,702712580
1048933205,-99.58334,19.27167,1,SALÓN DEL REINO DE LOS TESTIGOS DE JEHOVÁ,839018701
1048933205,-99.58334,19.27167,2,SALÓN DE LOS TESTIGOS DE JEHOVÁ,839018701
1210225271,-99.59759,19.27216,1,IGLESIA CRISTIANA DE ORACIÓN JEHOVÁ MI DIOS,702728014
1210225271,-99.59759,19.27216,2,IGL. C. DE ORACIÓN JEHOVÁ MI DIOS,702728014
1192268180,-99.64988,19.27402,2,BIOCLEAN O&G,702718741
1192268180,-99.64988,19.27402,1,LAVANDERÍA Y TINTORERÍA BIOCLEAN O&G,702718741
1178942565,-99.64172,19.27268,1,"MOTORES DIESEL Y TRANSMISIONES DE TOLUCA, S.A. DE C.V.",702786618
1178942565,-99.64172,19.27268,2,MOTORES DIESEL Y TRANSMISIONES,702786618
1210225363,-99.50865,19.27442,2,IGL. DEL SAGRADO CORAZÓN DE JESUS,1347281944
1210225363,-99.50865,19.27442,1,IGLESIA DEL SAGRADO CORAZÓN DE JESUS,1347281944
1048912771,-99.59582,19.2733,2,PARROQUIA DEL S. C. J.,702691668
1048912771,-99.59582,19.2733,1,PARROQUIA DEL SAGRADO CORAZÓN DE JESÚS,702691668
1210225254,-99.58065,19.2733,1,RECINTO ESPIRITUAL CASA DE JERUSALÉN,779677266
1210225254,-99.58065,19.2733,2,RECINTO ESP. CASA DE JERUSALÉN,779677266
1048933204,-99.58849,19.27437,2,SAGRADO CORAZON DE JESUS,702693338
1048933204,-99.58849,19.27437,1,PARROQUIA DEL SAGRADO CORAZÓN DE JESÚS,702693338
1210170931,-99.62702,19.27276,1,IGLESIA DE SAN FRANCISCO DE ASÍS COAXUSCO,702713666
1210170931,-99.62702,19.27276,2,IGLA. DE SAN FCO. DE ASÍS COAXUSCO,702713666
1210225181,-99.62413,19.2739,2,IGL. CRIST. BAUTISTA EL MECÍAS,702661499
1210225181,-99.62413,19.2739,1,IGLESIA CRISTIANA BAUTISTA EL MECÍAS,702661499
1178942806,-99.63369,19.27419,1,MEDICAMENTOS EXCLUSIVOS S. A. DE C. V.,702958389
1178942806,-99.63369,19.27419,2,MEDICAMENTOS EXCLUSIVOS SA DE CV,702958389
1137408259,-99.64926,19.27404,1,CEAJA LIC. BENITO JUÁREZ C. O. CA. T. E. M.,702717196
1137408259,-99.64926,19.27404,2,CEAJA LIC. BENITO JUÁREZ,702717196
1210225262,-99.58885,19.2746,1,PARROQUIA DEL SAGRADO CORAZÓN DE JESÚS,1175838779
1210225262,-99.58885,19.2746,2,PARROQUIA DEL SAGRADO C. DE J.,1175838779
1244533605,-99.57467,19.27491,2,HSBC,1175857993
